NetName,NetHandle,start address,end address,Registry,Date,Registry - Purpose,Notes or Reference
APNIC-CIDR-BLK3,NET-210-0-0-0-2,211.0.0.0,211.255.255.255,APNIC,Jun-96,APNIC,(whois.apnic.net)
RIPE-NCC-212,NET-212-0-0-0-1,212.0.0.0,212.255.255.255,RIPE,Oct-97,RIPE NCC,(whois.ripe.net)
RIPE-213,NET-213-0-0-0-1,213.0.0.0,213.255.255.255,RIPE,Mar-99,RIPE NCC,(whois.ripe.net)
DDN-NIC15,NET-214-0-0-0-1,214.0.0.0,214.255.255.255,ARIN,Mar-98,US-DOD,
DDN-NIC16,NET-215-0-0-0-1,215.0.0.0,215.255.255.255,ARIN,Mar-98,US-DOD,
NET216,NET-216-0-0-0-0,216.0.0.0,216.255.255.255,ARIN,Apr-98,ARIN,(whois.arin.net)
217-RIPE,NET-217-0-0-0-1,217.0.0.0,217.255.255.255,RIPE,Jun-00,RIPE NCC,(whois.ripe.net)
APNIC4,NET-218-0-0-0-1,218.0.0.0,218.255.255.255,APNIC,Dec-00,APNIC,(whois.apnic.net)
APNIC5,NET-219-0-0-0-1,219.0.0.0,219.255.255.255,APNIC,Sep-01,APNIC,(whois.apnic.net)
APNIC6,NET-220-0-0-0-1,220.0.0.0,220.255.255.255,APNIC,Dec-01,APNIC,(whois.apnic.net)
APNIC7,NET-221-0-0-0-1,221.0.0.0,221.255.255.255,APNIC,Jul-02,APNIC,(whois.apnic.net)
APNIC8,NET-222-0-0-0-1,222.0.0.0,222.255.255.255,APNIC,Feb-03,APNIC,(whois.apnic.net)
RESERVED-223,NET-223-0-0-0-1,223.0.0.0,223.255.255.255,ARIN,Apr-03,IANA - Reserved,
MCAST-NET,NET-224-0-0-0-1,224.0.0.0,239.255.255.255,ARIN,Sep-81,IANA - Multicast,
RESERVED-240,NET-240-0-0-0-0,240.0.0.0,255.255.255.255,ARIN,Sep-81,IANA - Reserved,
